,restaurant,online_order,book_table,rating,votes,cuisines,average_cost,restaurant_type,locality
0,Jalsa,Yes,Yes,4.1,775,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari
1,Spice Elephant,Yes,No,4.1,787,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari
2,San Churro Cafe,Yes,No,3.8,918,"Cafe, Mexican, Italian",800.0,Buffet,Banashankari
3,Addhuri Udupi Bhojana,No,No,3.7,88,"South Indian, North Indian",300.0,Buffet,Banashankari
4,Grand Village,No,No,3.8,166,"North Indian, Rajasthani",600.0,Buffet,Banashankari
5,Timepass Dinner,Yes,No,3.8,286,North Indian,600.0,Buffet,Banashankari
6,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari
7,Onesta,Yes,Yes,4.6,2556,"Pizza, Cafe, Italian",600.0,Cafes,Banashankari
8,Penthouse Cafe,Yes,No,4.0,324,"Cafe, Italian, Continental",700.0,Cafes,Banashankari
9,Smacznego,Yes,No,4.2,504,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari
10,CafDown The Alley,Yes,No,4.1,402,Cafe,500.0,Cafes,Banashankari
11,Cafe Shuffle,Yes,Yes,4.2,150,"Cafe, Italian, Continental",600.0,Cafes,Banashankari
12,The Coffee Shack,Yes,Yes,4.2,164,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari
13,Caf-Eleven,No,No,4.0,424,"Cafe, Continental",450.0,Cafes,Banashankari
14,San Churro Cafe,Yes,No,3.8,918,"Cafe, Mexican, Italian",800.0,Cafes,Banashankari
15,Cafe Vivacity,Yes,No,3.8,90,Cafe,650.0,Cafes,Banashankari
16,Catch-up-ino,Yes,No,3.9,133,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari
17,Kirthi's Biryani,Yes,No,3.8,144,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari
18,T3H Cafe,No,No,3.9,93,"Cafe, Italian, American",300.0,Cafes,Banashankari
19,360 Atoms Restaurant And Cafe,Yes,No,3.1,13,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari
20,The Vintage Cafe,Yes,No,3.0,62,"Cafe, French, North Indian",400.0,Cafes,Banashankari
21,Woodee Pizza,Yes,No,3.7,180,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari
22,Cafe Coffee Day,No,No,3.6,28,"Cafe, Fast Food",900.0,Cafes,Banashankari
23,My Tea House,Yes,No,3.6,62,"Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari
24,Hide Out Cafe,No,No,3.7,31,Cafe,300.0,Cafes,Banashankari
25,CAFE NOVA,No,No,3.2,11,"Cafe, Bakery",600.0,Cafes,Banashankari
26,Coffee Tindi,Yes,No,3.8,75,"Cafe, South Indian",200.0,Cafes,Banashankari
27,Sea Green Cafe,No,No,3.3,4,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari
28,Cuppa,No,No,3.3,23,"Cafe, Fast Food",550.0,Cafes,Banashankari
29,Srinathji's Cafe,No,No,3.8,148,"North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari
30,Redberrys,Yes,No,4.0,219,"Cafe, Italian",600.0,Cafes,Banashankari
31,Foodiction,Yes,No,2.8,506,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari
32,Sweet Truth,Yes,No,3.9,35,"Bakery, Desserts",500.0,Delivery,Banashankari
33,Ovenstory Pizza,Yes,No,3.9,172,Pizza,750.0,Delivery,Banashankari
34,Faasos,Yes,No,4.2,415,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari
35,Behrouz Biryani,Yes,No,3.9,230,Biryani,650.0,Delivery,Banashankari
36,Fast And Fresh,Yes,No,2.8,91,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari
37,Szechuan Dragon,Yes,No,4.2,1647,"Chinese, Thai, Momos",600.0,Delivery,Banashankari
38,Empire Restaurant,Yes,No,4.4,4884,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari
39,Maruthi Davangere Benne Dosa,Yes,No,4.0,17,South Indian,150.0,Delivery,Banashankari
40,Chaatimes,Yes,No,3.8,133,"Street Food, Fast Food",200.0,Delivery,Banashankari
41,Havyaka Mess,No,No,3.9,28,South Indian,300.0,Delivery,Banashankari
42,McDonald's,Yes,No,3.9,286,"Burger, Fast Food",500.0,Delivery,Banashankari
43,Domino's Pizza,Yes,No,3.9,540,"Pizza, Fast Food",800.0,Delivery,Banashankari
44,Onesta,Yes,Yes,4.6,2556,"Pizza, Cafe, Italian",600.0,Delivery,Banashankari
45,Hotboxit,No,No,3.8,36,"North Indian, Continental, Italian",400.0,Delivery,Banashankari
46,Kitchen Garden,Yes,No,3.6,244,"North Indian, Chinese",300.0,Delivery,Banashankari
